date,venue,city,state,country,setlist,link
2014.10.10,Stage AE,Pittsburgh,PA,USA,"SET I: 4 Year Puma > F Word, Gobnugget, The Rabble, Equinox, Vibyl, Only Light Remains, Circus 
SET II: Evasive Maneuvers, 20-12, Golden Gate, Hidden Hand Hidden Fist, The Paint, Frequencies Peace 2 > 3, World Go Round, When The Dust Settles 
ENCORE: Music Us, Dance, Crystal Instrument > World Go Round Reprise > Crystal Instrument",http://digital.1320records.com/search/release.php?RELEASE_ID=1311
2014.10.1,House Of Blues,Boston,MA,USA,"SET I: March, Grow, New Dawn New Day, Somesing, Lo Swaga, MOD, Abcees, World Go Round SET II: Awesome feat. Cool Kids (STS9 remix) > The Unquestionable Supremacy of Nature, Hidden Hand Hidden Fist, F. Word, Love Don't Terrorize, Gobnugget  > Tap-In, Glogli, What is Love? E: King Pharaoh's Tomb > Water Song > King Pharaoh's Tomb > Water Song > King Pharaoh's Tomb > Water Song",http://digital.1320records.com/search/release.php?RELEASE_ID=1323
2014.10.09,Egyptian Room at Old National Centre,Indianapolis,IN,USA,"SET I: Breathe In (First Half), Walk To The Light, GLOgli, Bigs >1..2..3, Kamuy, Love Don't Terrorize #, Lo Swaga, Inspire Strikes Back  SET II: Call Jam (%) > Tap In, MOD, King Pharaoh's Tomb, Scheme > Simulator > Grow, Totem, Awesome (STS9 Cool Kids Remix) > Unquestionable Supremacy of Nature  ENCORE: 986 Ft. Tall Trees(**) > Breathe In (Second Half)

# - first time played
% - last played on 02.09.2006
** - featuring Alana Rocklin on upright bass (AXED)",http://digital.1320records.com/search/release.php?RELEASE_ID=1309
2014.09.06,Red Rocks Amphitheatre,Morrison,CO,USA,"SET I (AXE THE CABLES): Human Abstract (*), Pianoir, Baraka, Crystal Instrument, Moon Socket > So It Goes > Equinox, Circus  SET II: Totem, Untitled (**), Wika Chikana, F Word, Gobnugget, Vapors > Only Light Remains (***), Ramone & Emiglio, Rent > Moon Socket > Rent  SET III: Click Lang Echo > Inspire Strikes Back, 20-12, Golden Gate, Four Year Puma, EHM, Frequencies Peace 2 > Frequencies Peace 3, World Go Round  E: Luma Daylight > Tokyo, Firewall

(*) David Axelrod cover, first time played.
(**) Untitled debut.
(***) First time played.",http://digital.1320records.com/search/release.php?RELEASE_ID=1299
2014.09.05,Red Rocks Amphitheatre,Morrison,CO,USA,"SET I (AXE THE CABLES): Lo Swaga, Kamuy, Red Clay (*), Glen Tells Kengo, Native End > ReEmergence, Tap-In, 986 Ft Tall Trees, The Unquestionable Supremacy of Nature SET II: The Unquestionable Supremacy of Nature, Blu Mood, T.W.E.L.V.E, Walk To The Light (**), Grow, New Dawn New Day > Surreality > EB, March  SET III: Scheme Reprise, Evasive Maneuvers, Move My Peeps > Monkey Music, When The Dust Settles, What Is Love?, King Pharoah’s Tomb, Abcees  E: Somesing, South of Here

(*) Freddie Hubbard cover, first time played.
(**) First time played.",http://digital.1320records.com/search/release.php?RELEASE_ID=1298
2014.08.31,House of Blues,Chicago,IL,USA,"SET I: Arigato, Four Year Puma, The Rabble, Grow, Hidden Hand Hidden Fist, Kaya, Vibyl, Totem SET II: This Us, Be Nice, Ramone & Emiglio, Really What?, Rent, Simulator, When The Dust Settles, Tap-In, Instantly",http://digital.1320records.com/search/release.php?RELEASE_ID=1292
2014.08.30,North Coast Music Festival,Chicago,IL,USA,"SET: Click Lang Echo, F. Word, Kamuy, Glogli, Scheme, What Is Love?, March, Awesome feat. Cool Kids (STS9 remix), The Unquestionable Supremacy of Nature, World Go Round, Inspire Strikes Back",http://digital.1320records.com/search/release.php?RELEASE_ID=1291
2014.08.09,Moonrise Festival,Baltimore,MD,USA,"SET: One Two Three, Evasive Maneuvers, Vapors, Kabuki, New Dawn New Day, When The Dust Settles, Totem, The Rabble, March, Scheme Reprise, World Go Round",http://digital.1320records.com/search/release.php?RELEASE_ID=1290
2014.07.13,Chalice Cup,San Bernardino,CA,USA,"SET: Bigs, Ramone & Emiglio, World Go Round, Totem, EHM, Gobnugget, Golden Gate, Simulator, Grow, New Dawn New Day, King Pharaoh's Tomb, MOD, Click Lang Echo, Kamuy",http://digital.1320records.com/search/release.php?RELEASE_ID=1286
2014.07.1,Hudson Music Project,Saugerties,NY,USA,"SET: Vapors, Monkey Music, Totem, Click Lang Echo, Inspire Strikes Back, World Go Round, Really What?, Scheme, Moon Socket, Hidden Hand Hidden Fist, When The Dust Settles",http://digital.1320records.com/search/release.php?RELEASE_ID=1287
2014.07.03,High Sierra Music Festival,Quincy,CA,USA,"SET: Musical Story Yes, Four Year Puma, Click Lang Echo, Rent, Equinox, Poseidon, 20-12, New Dawn New Day, What Is Love?, March, Blu Mood, Golden Gate, Frequencies 2 > 3, Totem, World Go Round, Circus",http://digital.1320records.com/search/release.php?RELEASE_ID=1283
2014.06.28,Electric Forest Festival,Rothbury,MI,USA,"SET: Kabuki, Evasive Maneuvers, Glogli, Move My Peeps, EHM, Click Lang Echo, Scheme Reprise, Grow, T.W.E.L.V.E., When The Dust Settles, Ramone & Emiglio, World Go Round",http://digital.1320records.com/search/release.php?RELEASE_ID=1281
2014.06.27,Electric Forest Festival,Rothbury,MI,USA,"SET: Totem, Simulator, Kamuy, Dance, Inspire Strikes Back, The Rabble, Vapors, Moon Socket, MOD, New Dawn New Day, Surreality, EB",http://digital.1320records.com/search/release.php?RELEASE_ID=1280
2014.06.06,Wakarusa Music Festival,Ozark,AR,USA,"SET: Wika Chikana, Frequencies 2 > 3, Bigs, One Two Three, Rent, Poseidon, March, Circus, 20-12, Tap-In, World Go Round, Totem, Four Year Puma",http://digital.1320records.com/search/release.php?RELEASE_ID=1276
2014.06.05,Wakarusa Music Festival,Ozark,AR,USA,"SET: Baraka, When The Dust Settles, Hidden Hand Hidden Fist, New Dawn New Day, Kaya, Golden Gate, Click Lang Echo, Awesome feat. Cool Kids (STS9 remix), The Unquestionable Supremacy of Nature, Scheme, What Is Love?, Vapors, Inspire Strikes Back, ",http://digital.1320records.com/search/release.php?RELEASE_ID=1275
2014.05.16,Hangout Music Festival,Gulf Shores,AL,USA,"SET: Be Nice, March, Rent > Moon Socket > Rent, When The Dust Settles, Vapors, The Rabble, Gobnugget, Instantly, World Go Round, Totem, Click Lang Echo, Inspire Strikes Back, Evasive Maneuvers, Kamuy, Awesome feat. Cool Kids (STS9 remix), The Unquestionable Supremacy of Nature",http://digital.1320records.com/search/release.php?RELEASE_ID=1271
2014.05.03,Beale Street Music Festival,Memphis,TN,USA,"SET: Musical Story Yes, Really What?, Kamuy, 20-12, Golden Gate, Glogli, Hidden Hand Hidden Fist, World Go Round, Scheme Reprise, Inspire Strikes Back, Click Lang Echo",http://digital.1320records.com/search/release.php?RELEASE_ID=1270
2014.04.26,CounterPoint,Rome,GA,USA,"SET 1: When The Dust Settles, Moon Socket, Bigs, One Two Three, New Dawn New Day, Move My Peeps, Monkey Music, MOD, Vapors, EHM, Click Lang Echo, World Go Round",http://digital.1320records.com/search/release.php?RELEASE_ID=1269
2014.04.12,Ford Park,Vail,CO,USA,"SET: Click Lang Echo* > Hidden Hand Hidden Fist, GLOgli > Grow, The Rabble, What Is Love? New Dawn New Day > Poseidon**, World Go Round, Tap-In, March > 4 Year Puma, Scheme E: Kabuki > Breathe In

* - first time played
** - last time played 09/24/2004",http://digital.1320records.com/search/release.php?RELEASE_ID=1267
2014.03.28,McDowell Mountain Music Festival,Phoenix,AZ,USA,"SET: New Dawn New Day*, Rent, World Go Round*, Wika Chikana, Kamuy, Vapors, Golden Gate, 20-12, Circus, Inspire Strikes Back, When The Dust Settles *first time played",http://digital.1320records.com/search/release.php?RELEASE_ID=1265
2013.12.31,The Tabernacle,Atlanta,GA,USA,"SET I: Intro, MOD, Beyond Right Now, When The Dust Settles, What Is Love?, Music Us, Grow, Rent, Dance, Luma Daylight SET II: Monkey Music, STS9, Kamuy, Aimlessly, Abcees, March, Breathe In E:  Four Year Puma, Circus",http://digital.1320records.com/search/release.php?RELEASE_ID=1251
2013.12.30,The Tabernacle,Atlanta,GA,USA,"SET I: Intro, The Rabble, Kaya, Somesing, Atlas, Satori, Tokyo, Hi-Key, Mobsters > Surreality > EB, Party All The Time*  SET II: Really What?, Vapors**, Scheme Reprise, Today, Jebez, Inspire Strikes Back, 20-12 E: Nautilus, ... And Some Are Angels

*w/ Cherub
**w/ Kenny from Justice League",http://digital.1320records.com/search/release.php?RELEASE_ID=1248
2013.12.29,The Tabernacle,Atlanta,GA,USA,"SET I:Intro, Blu Mood, Evasive Maneuvers, Wika Chikana, Grizzly, Between 6th and 7th, Thriller*, Simulator*, Move My Peeps, 2001 (Also Sprach Zarathustra)* SET II: SpottieOttieDopalicious* Viby*, Shock Doctrine*, Frequencies D&B  > Frequencies 2 > 3, Squares & Cubes, New Soma, Robot Rock, Lo Swaga, From Now On E: King Pharaoh’s Tomb**

*w/ Russ Liquid and Gnarly G
**w/ The Liquid Horns Russ Liquid, Gnarly G & Justice League",http://digital.1320records.com/search/release.php?RELEASE_ID=1246
2013.12.28,The Tabernacle,Atlanta,GA,USA,"SET I: Bigs > One Two Three, Empires, F. Word, Crystal Instrument, Song 2, Metameme, Looking Back On Earth, Roygbiv, Hidden Hand Hidden Fist*, Shakedown Street* SET II: Hubble, Arigato, Golden Gate, Water Song, Open E, Tooth, Moon Socket E:  Gobnugget*, Instantly

*w/ Alana Rocklin",http://digital.1320records.com/search/release.php?RELEASE_ID=1244
2013.12.27,The Tabernacle,Atlanta,GA,USA,"SET I: Mischief of a Sleepwalker, One A Day, Kabuki, Warrior, South Of Here, Equinox, Glogli, Tap-In, Scheme SET II: EHM, Be Nice, Orbital, Abcees, T.W.E.L.V.E., Awesome feat. Cool Kids (STS9 Remix) > The Unquestionable Supremacy of Nature, Baraka E: This Us, Ramone & Emiglio",http://digital.1320records.com/search/release.php?RELEASE_ID=1242
2013.12.19,Mayan Holidaze,,,Mexico,"SET: This Us, Rent, Arigato, Golden Gate, Blu Mood, 20-12, Awesome feat. Cool Kids (STS9 remix), The Unquestionable Supremacy of Nature, Water Song, One A Day, March",http://digital.1320records.com/search/release.php?RELEASE_ID=1241
2013.12.18,Mayan Holidaze,,,Mexico,"SET I: Four Year Puma, Kabuki, Monkey Music, Abcees, What Is Love?, Squares & Cubes, The Rabble, Evasive Maneuvers, Glogli, Bigs, One Two Three, Circus SET II: Be Nice*, Hubble, Vapors, Scheme, Simulator E: Wika Chikana

*  w/ Dominic Lalli",http://digital.1320records.com/search/release.php?RELEASE_ID=1239
2013.12.17,Mayan Holidaze,,,Mexico,"SET I: Kamuy, Kaya, When The Dust Settles, Vibyl, Shock Doctrine, Crystal Instrument, Grow*, Moon Socket, Warrior SETII: MOD, Surreality, EB, Instantly, ...And Some Are Angels, EHM, Dance, Inspire Strikes Back E: Breathe In

 *w/ Dominic Lalli",http://digital.1320records.com/search/release.php?RELEASE_ID=1237
2013.11.02,Hulaween,Live Oak,FL,USA,"SET I: Really What?, Blu Mood, Move My Peeps, When the Dust Settles, Wika Chikana, EHM, Golden Gate, Circus, Rent, Vapors, Hubble, 20-12, Inspire Strikes Back, Baraka",http://digital.1320records.com/search/release.php?RELEASE_ID=1232
2013.11.01,Joy Theatre,New Orleans,LA,USA,"SET I: Intro, This Us, The Rabble, Kaya, Grizzly, Shock Doctrine, Instantly, Grow, Glogli SET II: Evasive Maneuvers, Surreality > EB, Equinox, Kabuki, Aimlessly, Kamuy, Moon Socket, Awesome feat. Cool Kids (STS9 remix) > The Unquestionable Supremacy of Nature, Scheme E: Frequencies 1 > 2 > 3, When the Dust Settles",http://digital.1320records.com/search/release.php?RELEASE_ID=1230
2013.10.31,Austin Music Hall,Austin,TX,USA,"SET I: Intro > Rent, Vapors, Monkey Music, Arigato*, Hubble, Vibyl*, Hidden Hand Hidden Fist*, Abcees*, What Is Love? SET II: MOD, Simulator*, F. Word*, Four Year Puma*, Bigs, One Two Three, Breathe In, March*, 2001 (Also Sprach Zarathustra)* E: Warrior, King Pharaoh’s Tomb*

 *w/ The Liquid Horns",http://digital.1320records.com/search/release.php?RELEASE_ID=1227
2013.10.27,Life Is Beautiful,Las Vegas,NV,USA,"SET: Intro, Kabuki, Golden Gate, Scheme, Simulator, Bigs, One Two Three, Inspire Strikes Back, When The Dust Settles",http://digital.1320records.com/search/release.php?RELEASE_ID=1229
2013.09.21,Symbiosis Gathering,Oakdale,CA,USA,"SET I: Hidden Hand Hidden Fist, Abcees, Simulator*, Grow, Vibyl*, Glogli, Move My Peeps, Grizzly, The Rabble, March > Kamuy SET II: Equinox, Kabuki, Inspire Strikes Back, Bigs > One Two Three, Golden Gate, When The Dust Settles, EHM E: Vapors

* with Russ Liquid ",http://digital.1320records.com/search/release.php?RELEASE_ID=1223
2013.09.07,Red Rocks Amphitheatre,Morrison,CO,USA,"SET I: Intro, MOD, Arigato > Rent, Vibyl, Blu Mood, Abcees, Kaya > Monkey Music, Hidden Hand Hidden Fist SET II: Hubble > Dance > Inspire Strikes Back, Vapors, Four Year Puma, Warrior, March > What Is Love? E: 20-12, Water Song > Dance E2: Music Us",http://digital.1320records.com/search/release.php?RELEASE_ID=1215
2013.09.06,Red Rocks Amphitheatre,Morrison,CO,USA,"SET I: Intro, Simulator, Aimlessly, Ramone & Emiglio, Baraka, The Rabble, Kabuki, Crystal Instrument > Frequencies 2 > 3, When The Dust Settles SET II: Golden Gate > Glogli > Grow, Equinox, Bigs > One Two Three, Squares & Cubes, Scheme, Kamuy E: Between 6th & 7th > Circus > Moon Socket",http://digital.1320records.com/search/release.php?RELEASE_ID=1214
2013.09.01,Filene Center At Wolf Trap,Vienna,VA,USA,"SET: Vapors, Monkey Music, Golden Gate, Kamuy, Squares & Cubes, Arigato, Kabuki, Vibyl, Moon Socket*, Hidden Hand Hidden Fist, E: This Us, When The Dust Settles, Scheme, Cruel Summer**

 *with Brendan of Umphrey's McGee
** with Umphrey's McGee",http://digital.1320records.com/search/release.php?RELEASE_ID=1183
2013.08.31,Bank Of America Pavilion,Boston,MA,USA,"SET: Intro, Hubble, Simulator, Abcees, Circus, Kaya, Glogli, Grow, Rent, Aimlessly, Inspire Strikes Back E: The Rabble, Sympathy for the Devil*

* w/ Jake, Brendan, Andy, & Stasik of Umphrey's McGee",http://digital.1320records.com/search/release.php?RELEASE_ID=1182
2013.08.30,The Mann Music Center,Philadelphia,PA,USA,"SET: Intro, Metameme, Vapors, What Is Love?, Really What? > Four Year Puma, Scheme, Vibyl, F. Word, Golden Gate, 20-12, Move My Peeps, MOD, Awesome feat. Cool Kids (STS9 remix) > The Unquestionable Supremacy of Nature, Breathe In, Wika Chikana",http://digital.1320records.com/search/release.php?RELEASE_ID=1181
2013.08.29,Maymont,Richmond,VA,USA,"SET: Intro, Grizzly, Grow, One A Day, Ramone & Emiglio, Bigs, One Two Three, Be Nice, ...And Some Are Angels, Glogli, Circus, Roygbiv, T.W.E.L.V.E., Rent, EHM, Inspire Strikes Back",http://digital.1320records.com/search/release.php?RELEASE_ID=1180
2013.08.28,Time Warner Uptown Amphitheatre,Charlotte,NC,USA,"SET: Intro, Hidden Hand Hidden Fist, Four Year Puma, Kamuy, Moon Socket, Instantly, Equinox, Frequencies 2 > 3*, Abcees, Looking Back on Earth, March, When The Dust Settles E: The Rabble
* w/ Mike Dillon on Vibraphone",http://digital.1320records.com/search/release.php?RELEASE_ID=1179
2013.08.25,Red Hat Amphitheater,Raleigh,NC,USA,"SET: Intro, Really What?, Beyond Right Now, Crystal Instrument, Scheme, Water Song, Arigato, MOD, Wika Chikana, Music Us, What Is Love?, Awesome feat. Cool Kids (STS9 remix), The Unquestionable Supremacy of Nature, King Pharaoh's Tomb, Baraka",http://digital.1320records.com/search/release.php?RELEASE_ID=1178
2013.08.24,Verizon Wireless Ampitheatre,Alpharetta,GA,USA,"SET: Intro, Kabuki, Monkey Music, Simulator, Grow, Vibyl, Blu Mood, Bigs, One Two Three, Heart Of Glass*, 20-12, Inspire Strikes Back, March, Breathe In, Vapors**, Rent E: This Us, Golden Gate

*  w/ Brendan, Jake, Stasik of Umphrey's Mcgee 
** w/ Kenny Barto of The J.U.S.T.I.C.E League ",http://digital.1320records.com/search/release.php?RELEASE_ID=1177
2013.08.23,Riverfront Park,Nashville,TN,USA,"SET: Shock Doctrine, Abcees, Kamuy, Kaya, F. Word, The Rabble, Hidden Hand Hidden Fist, From Now On, Glogli, Aimlessly, When the Dust Settles",http://digital.1320records.com/search/release.php?RELEASE_ID=1176
